Broker,Rater,Industry
Storage for Float and Beads,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage for Float in Cow barn,Livestock Farming,Agriculture/Farming
Storage for Floats,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage for Floats & Accessories,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage for Floats & Blankets,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage for Floats & Carnival Inventory,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage for Floats & Costumes,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage for Floats & Den,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage for Floats & Equipment,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage for Floats & Parade Inventory,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage for Floats/H/NO PD For Auto,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage for Forklift and Statue,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage for Fort Stevens historical artifacts,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
storage for Friends Group,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage for fuel tank,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage for Golf Carts,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
"storage for hand tools, haz mat materials , signs",General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage for Inland Marine/Equipment,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage for interpretive supplies,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage for janitorial and cleaning supplies,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage for kayaks and kayak accessories,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage for Lease Floats,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage for lost and found items,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage for Non-Owned Floats,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage for OAR,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage for Owned Float,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage for Owned Props,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
storage for paint,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
storage for paper supplies,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
"Storage for Ride-Outdoors, Fenced",General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage for Rides,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage for Rides and Trailers,Temporary Camps and Campgrounds,Hotels/Casino/Entertainment
Storage for Scheduled Floats,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage for Short Term Additional Inland Marine,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage for Sound Equipment,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
"Storage for toiletry items, trash cans, brooms",General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage for Trailer,Temporary Camps and Campgrounds,Hotels/Casino/Entertainment
Storage for Trailers,Temporary Camps and Campgrounds,Hotels/Casino/Entertainment
Storage for Training,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage for uniforms,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage for Valuable Papers,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage for Winnebago and Camper,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage fpr Float,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
STORAGE GARAGE,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
STORAGE GARAGE (FORMERLY FIRE DEPARTMENT),General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage- General (Electronic Equiptment & Stores Appliances),General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage GP Inst,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
STORAGE HOUSE,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
STORAGE HOUSE/MAINTENANCE,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage in barn and property,Livestock Farming,Agriculture/Farming
Storage leased,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage leased space,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage Location,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage Location - Rent,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage Location - Trailer,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage Lot,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage Lot & Building,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage lot for containers,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage Maint,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage Mobile Unit - Leased Mod-Owned Land,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage- non-hazard - OC 6,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage of boat and shellfish field equipment,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage of brochures and misc. materials and records,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage of cabinets containing microfiche flat film,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage of Chemical materials,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage of Concession Trailers,Temporary Camps and Campgrounds,Hotels/Casino/Entertainment
Storage of court records,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
"Storage of court records, computers, and furniture/Court operations",General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage of Dairy Products,Refrigerated Warehousing and Storage,Storage and Wholesale Trade
Storage of dry pet food products,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage of Equipment,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
"Storage of Equipment, Gas for Chainsaws, Motor and Gear Oil, and Transmission Fluid",General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
"Storage of Equipment, Gasoline, Diesel, Motor and Gear Oil, and Transmission Fluid",General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage of Firefighting equipment,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
storage of fishery and research documentation,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage of Flammables - Bldg. #15,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage of furniture and court operations,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
"Storage of Gas for Chainsaws, Motor and Gear Oil, Transmission Fluid, Fusses (Flairs), Herbicides and Insecticides",General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
"Storage of Gasoline, Diesel, Motor and Gear Oil, and Transmission Fluid",General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
"Storage of Gasoline, Diesel, Motor, Gear Oil, Herbicides and Insecticides",General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
"Storage of Gasoline, Motor and Gear Oil, and Transmission Fluid",General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage of records,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage of sign materials,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage of state agencies records on metal shelving,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage of supplies and chemical products,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage of wet pet products,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage of Wood for heating,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage- office supplies,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
"storage only, used approximately one hour a week",General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage Outside in fenced area w/24/7 security,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage- paint,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage- plumbing shed,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage Pond,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage Pond 1,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage Pond 2,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage records,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage Shed,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage Shed  (Brumby St.),General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
STORAGE SHED - BLOCK,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
storage shed (was shop/bath),General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
"Storage shed for cleaning products and supplies, lights, restroom fixtures, etc.",General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage shed for equipments and misc tools,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
storage shed for interpretive items,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
storage shed for kayaks,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
storage shed for stewardship department,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
storage shed for wood,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage shed in campground..hand tools and equipments,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
"Storage shed-electric cart, paper products, misc items",General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage Sheds,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage Sheds (3),General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
STORAGE SHEED,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
STORAGE SHELTER,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage small equipments and tools,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage Tanks,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
storage tool shed a loop,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage Trailer,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage Trailer - Contents Only,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage Trailer - Rent,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage Trailer #1,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage Trailer #2,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage Trailer #3,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage Trailer #4 - Rent,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage Trailer Contents,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage trailer- Owned,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage Unit,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage Unit - Lease,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage Unit #1,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage Unit #1 - Modular,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage Unit #2,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage Unit #2 - Modular,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage Unit (Multi Tenant Bldg),General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage Unit 2-54 & 5-89,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
STORAGE UNIT C064,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage Unit for Ride -Indoors,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage Unit For Tractors,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage Unit for Valuable Papers,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage Unit-Rented,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage Units,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage used by ATV Program West,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage UV,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage Warehouse,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage Warehouse - Utilities,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage Wash Rack,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage with fuel tank adjacent to building,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage Yard & Buildings for Carnival Rides,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage Yard for Carnival Rides,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
"Storage,",General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
"Storage, Cold",Refrigerated Warehousing and Storage,Storage and Wholesale Trade
"Storage, Deicer",General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
"Storage, De-Icer",General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
"Storage, Haz Mat",General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
"Storage, Haz Mats",General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
"Storage, Hazardous Material",General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
"Storage, Hazardous Matls",General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
"Storage, Hazmat",General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
"Storage, Miscellaneous",General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
"Storage, truck docks",General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
"Storage, Water Pump house, and Back-Up Generator",General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
storage.. paint shed,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage..seasonal rental,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage/ Staging Warehouse for Facilities and Plant Ops,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage/Bulking  Lab Packing,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage/Den,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
storage/exercise,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
storage/laundry,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage/Model Units,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage/Office,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
storage/office shed for horse concession,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage/Office/Shop,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage/Restrooms,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage/Retail - Rented Out,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage/Shop,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
STORAGE/UTILITY,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage/Warehouse,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage/Warehouse and Workshop,Machinery Manufacturing,Light Industry
"storage: cleaning supplies, bags, paper products, mops, brooms, etc",General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage: firewood,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage: paint/ fuel/oil,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage; GATOR RE 075416 plus weed trimmer and other supplies,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
"Storage; RE115608 mower ; 2 bicycles, push mower etc",General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage; tools,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage-Alternate,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage-Barn (Frame),Livestock Farming,Agriculture/Farming
Storage-Barn (Metal),Livestock Farming,Agriculture/Farming
Storage-Container,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage-Deicer,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage-equipment,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage-firewood,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage-fuel tank,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage-fuel tank shelter,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage-haz mat materials,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
storage-laundromat shed,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage-Leased,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage-Maintenance,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage-paint,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
"Storage-paint, fertilizer, etc.",General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage-Parked Outside,Governmental Office & Administration,Govermental/Municipal
Storage-rent,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage-rental,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage-riding mowers and utility vehicles,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
StorageShed,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage-Shed,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storage-trailer,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Storatge Shed,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
STORE,Miscellaneous Retailers,Retail
STORE & APT,Miscellaneous Retailers,Retail
Store & Office,Offices,Offices
STORE / APARTMENT,Mid Rise Apartments - 5-9 stories,Habitational
STORE 3-HABITATIONAL,Single Family Dwellings,Habitational
Store Aircraft - Aircraft Operations and Service - Warehouse and Office,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Store documents,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
store emergency response trailer and its contents,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
store emergency response trailers and its contents,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
"Store equipment, tools, storage shelves and work bench area. One small room to hold water infrastructure for the area.",General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
store firewood,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Store hazardous materials until disposed of (primarily paint),General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
store interpretive materials,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
store interpretive supplies,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Store low cost educational materials,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Store or Shop,Miscellaneous Retailers,Retail
Store Restaurant Marina Concession,Restaurants - Not Fast Food,Retail
Store vehicles and large equipment,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
STORE/2-RESTAURANT,Restaurants - Not Fast Food,Retail
STORE/APT,Mid Rise Apartments - 5-9 stories,Habitational
STORE/APTS,Miscellaneous Retailers,Retail
STORE/RENTALS,Miscellaneous Retailers,Retail
STORE-3,Miscellaneous Retailers,Retail
Stored on Fairgrounds,Amusement and Theme Parks,Hotels/Casino/Entertainment
Stores,Miscellaneous Retailers,Retail
Stores - food and drink,Miscellaneous Retailers,Retail
"Stores - food or drink - Not-For-Profit only - If sole occupancy and over 15,000 sq. ft. in total floor area",Miscellaneous Retailers,Retail
"Stores - food or drink - Other than Not-For-Profit - If sole occupancy and over 15,000 sq.. ft. in total floor area",Miscellaneous Retailers,Retail
Stores - no food or drink,Miscellaneous Retailers,Retail
Stores - no food or drink - Other than Not-For-Profit,Miscellaneous Retailers,Retail
Stores - NOC,Miscellaneous Retailers,Retail
Stores - Retail,Miscellaneous Retailers,Retail
Stores (NOC),Miscellaneous Retailers,Retail
Stores Beauty Parlours,Miscellaneous Retailers,Retail
Stores Convenience/ Gas Stations,Gas Petrol Stations,Retail
Stores DIY,Miscellaneous Retailers,Retail
Stores Laundries,Laundry,Retail
Stores- no food or drink,Miscellaneous Retailers,Retail
Stores NOC,Miscellaneous Retailers,Retail
Stores Pawn,Pawn Shop,Retail
stores projector for VCR player,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
STORES RETAIL,Miscellaneous Retailers,Retail
Stores Video,Miscellaneous Retailers,Retail
STORES/RENTAL,Miscellaneous Retailers,Retail
Storey Mill Road Elementary School,Schools,Education
Storm Water Filtration System,Water Supply and Irrigation Systems,Utilities
Storm Water Office,Offices,Offices
Strip Center,Strip Mall,Retail
STRIP MALL,Shopping Mall (Enclosed),Retail
Strip Shopping,Department Stores,Retail
Strip shopping center ,Department Stores,Retail
Strorage for Floats & Costumes,Amusement and Theme Parks,Hotels/Casino/Entertainment
Student Apts,Mid Rise Student Housing - 5-9 stories,Habitational
Student Housing,Mid Rise Student Housing - 5-9 stories,Habitational
STUDIO,Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
STUDY HALL,Library,Govermental/Municipal
Study Hall-Vacant,Schools,Education
Sub Station,T&D,Utilities
Subleased Mfg Building,Machinery Manufacturing,Light Industry
"Subleased to Third Party.  Production, warehouse, truck docks and office buildings",General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Sugar,Sugar Mill,Food
Sunday School,Schools,Education
Sunday School Annex,Schools,Education
Sunday School- Childrens bldg,Schools,Education
Sunday School Classrooms,Schools,Education
SUNSET BEACH BAR,"Lounges, Night Clubs, Discos",Retail
SUNSET BEACH HUT,Lodges and Clubs,Hotels/Casino/Entertainment
SUNSET BEACH RESTROOMS,Lodges and Clubs,Hotels/Casino/Entertainment
SUNSET BEACH TRAILER,Temporary Camps and Campgrounds,Hotels/Casino/Entertainment
Sunset House Dorm,Single Family Dwellings,Habitational
SUPERMARKET,Supermarkets and Grocery,Retail
SUPERMARKET & POST OFFICE,Supermarkets and Grocery,Retail
SUPERMARKET LRO,Supermarkets and Grocery,Retail
Supervisor's Office and Pump Room,Water Supply and Irrigation Systems,Utilities
Supplies & Equipment,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
supplies and interpretive information for junior ranger yurt,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
supply shed storage for interpretive supplies,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Supply Storage,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Support and office,Offices,Offices
"Support Building (CUP, Kitchen, EVS, Warehouse)",General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Surfside Outpaitent Center,Outpatient Care Centers,Health Services
Surgery Center,Home Health Care Service,Health Services
Svc/Retail,Miscellaneous Retailers,Retail
SW DIRECTOR OFFICE,Offices,Offices
SW FLA Medical Center Plaza II - LMHS Owns land---HRT holds a 60 year ground lease with LMHS,Medical Office,Health Services
Swainsboro Threater,Cinemas,Retail
Swimming pool,Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
Swimming Pool Building,Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
SWIMMING POOL- OC 0,Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
Swimming Pools - Inside,Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
Swimming Pools - Outside,Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
"Synovus Bank
1st floor Vacant     (3,081sf)
2nd floor Foundation/Adminstrative offices (11,279 sf)",Mid Rise Apartments - 5-9 stories,Habitational
T - Hangar,Other Support Facilities For Air Transportation,Transportation
T HANGAR 1-10,Other Support Facilities For Air Transportation,Transportation
T HANGAR 11-20,Other Support Facilities For Air Transportation,Transportation
Tactical Vehicle Storage,Parking Garages,Light Industry
Talladega Hatchery,Poultry Hatcheries,Agriculture/Farming
Tan Farm,Livestock Farming,Agriculture/Farming
"Tanks - Fuel, liquid propane, gas or gasoline dealers tanks",Gas Petrol Stations,Retail
TANNING SALON,Miscellaneous Retailers,Retail
TARVEN RESTAURANT,Restaurants - Not Fast Food,Retail
TATOO & ART WORK SHOPS,Miscellaneous Retailers,Retail
TATOO & ART WORKSHOPS,Miscellaneous Retailers,Retail
TATOO & PIERCING STORE,Piers and Wharves,Transportation
TATTOO PARLOR,Miscellaneous Retailers,Retail
Tavern,"Lounges, Night Clubs, Discos",Retail
TAVERN BUILDING,"Lounges, Night Clubs, Discos",Retail
TAVERN/VACANT,Mid Rise Apartments - 5-9 stories,Habitational
TAX COLLECTOR,Offices,Offices
TAX COLLECTOR (LEASED LOCATION),Offices,Offices
TAX COLLECTOR/LAKEWOOD,Offices,Offices
Tax Services,Offices,Offices
Taxicab Companies - Dispatch offices,Offices,Offices
TAYLOR PARK PLAYGROUND,Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
TB Sales/Offices,Offices,Offices
"Teaching Shops, Gymnasium, Carpenter Shop",Miscellaneous Retailers,Retail
Tech Center,Offices,Offices
Tech Shop,Auto Repair Shop Garage,Retail
Technical Service and Research Facility,Offices,Offices
Technical Services Building,Offices,Offices
Technology Center,Offices,Offices
"TEES, GREENS & FAIRWAYS",Golf Courses and Country Clubs,Hotels/Casino/Entertainment
Telecoms & Electric Utilities,Other Electric Power Generation,Utilities
Telephone,Telecoms - Transmission Towers,Communications
Telephone & Telegraph,Telecoms - Transmission Towers,Communications
Telephone &Telegraph,Tv and Radio Stations,Communications
Telephone and Telegraph,Telecoms - Transmission Towers,Communications
Temp Lodging - Other Lodging,Motels,Hotels/Casino/Entertainment
"Temp Lodging (Motel, etc)",Motels,Hotels/Casino/Entertainment
Temporary City Hall,Governmental Office & Administration,Govermental/Municipal
TEMPORARY LODGING,Inns/Bed and Breakfasts,Hotels/Casino/Entertainment
Temporary Lodging - 3,Motels,Hotels/Casino/Entertainment
Temporary Lodging - Hotel,Full-Service Hotel,Hotels/Casino/Entertainment
Temporary Lodging - Motel,Motels,Hotels/Casino/Entertainment
Temporary Loding,Motels,Hotels/Casino/Entertainment
Tenant,Single Family Dwellings,Habitational
Tenant - Annual,Mid Rise Apartments - 5-9 stories,Habitational
Tenant - Monthly or,Mid Rise Apartments - 5-9 stories,Habitational
Tenant - Seasonal,Resort Hotel,Hotels/Casino/Entertainment
Tenant Dwelling,Single Family Dwellings,Habitational
TENANT OCCUPIED 2 HOMES,Single Family Dwellings,Habitational
TENANT OCCUPIED 2HOMES,Single Family Dwellings,Habitational
Tenant Occupied Dwelling,Single Family Dwellings,Habitational
Tenant Rental-occupied by Bob Clark 2006 agreement on file,Motels,Hotels/Casino/Entertainment
TENNILLE FIREHOUSE,Governmental Office & Administration,Govermental/Municipal
TENNIS BUILDING,Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
TENNIS CENTER,Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
Tennis Court,Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
